"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Légkondicionáló","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 118 000 € "," 80 880 € "," 69 540 € "," 144 330 € "," 80 370 € "," 97 150 € "," 73 880 € "," 76 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 229 000 € "," 144 900 € "," 363 430 € "," 103 640 € "," 250 000 € "," 208 000 € "," 141 440 € "," 77 480 € "," 81 330 € "," 222 290 € "," 83 050 € "
"118","39 m²"," 1 + 1 fél ","32 millió Ft","jó állapotú","nincs megadva","nincs megadva","2","4","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","külön helyiségben","délnyugat","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,"2.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","51 m²"," 2 ","42,5 millió Ft","újszerű","összkomfortos","nincs megadva","5","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","egy helyiségben","délnyugat","panorámás","nem","legfelső emelet, nem tetőtéri","udvari beálló - megvásárolható","2001-2010 között",NA,"30 000 Ft/hó","5 m²","1.5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","44 m²"," 2 ","37,49 millió Ft","újszerű","összkomfortos","nincs megadva","1","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","külön helyiségben","délnyugat","udvari","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"6 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","82 m²"," 4 + 1 fél ","59,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","4","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","utcai","nem","tetőtéri","utca, közterület",NA,"van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","29 m²"," 1 ","24,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes","1981-2000 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","70 m²"," 3 ","58 millió Ft","újszerű","összkomfortos","nincs megadva","1","5","van","nincs megadva","gáz (cirko)","igen","külön helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","2019","van",NA,"6.3 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","56 m²"," 2 ","46,2 millió Ft","újszerű","összkomfortos","nincs megadva","5","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","egy helyiségben","dél","panorámás","nincs megadva","tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között","van",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","105 m²"," 4 ","65 millió Ft","felújított","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délnyugat","kertre néző","nem","nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","62 m²"," 3 ","39,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","9","9","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nem","külön helyiségben","nyugat","panorámás","nincs megadva","nem tetőtéri","nincs megadva",NA,"van",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","46 m²"," 1 + 1 fél ","25,8 millió Ft","felújított","összkomfortos","nincs megadva","7","10","van","3 m-nél alacsonyabb","távfűtés","igen","egy helyiségben","nincs megadva","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes",NA,"van",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","85 m²"," 3 + 1 fél ","64,9 millió Ft","jó állapotú","duplakomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön és egyben is","délkelet","kertre néző","nem","nem tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","44 m²"," 2 ","28,9 millió Ft","felújított","összkomfortos","nincs megadva","2","3","nincs megadva","3 m vagy magasabb","elektromos, padlófűtés","nincs megadva","egy helyiségben","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva","1950 előtt","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","37 m²"," 1 + 1 fél ","26,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","egy helyiségben","kelet","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","51 m²"," 2 ","39,9 millió Ft","felújított","összkomfortos","nincs megadva","3","5","van","nincs megadva","távfűtés","nincs megadva","külön helyiségben","nyugat","nincs megadva","nincs megadva","nem tetőtéri","önálló garázs",NA,"van","40 000 Ft/hó","6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","173 m²"," 5 ","148,5 millió Ft","felújított","duplakomfortos","nincs megadva","3","3","nincs","nincs megadva","gáz (cirko)","nincs megadva","külön és egyben is","délnyugat","kertre néző","nincs megadva","zárószint","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"17 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","81 m²"," 3 + 1 fél ",NA,"újszerű","duplakomfortos","nincs megadva","3","3","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","nincs megadva","nincs megadva","kertre néző","nem","tetőtéri","önálló garázs - megvásárolható","2001-2010 között",NA,NA,"16 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","57 m²"," 3 ","36,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön helyiségben","délnyugat","panorámás","nincs megadva",NA,"utca, közterület - ingyenes","1981-2000 között","van","40 000 Ft/hó","7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","53 m²"," 2 ","33,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","házközponti","nincs megadva","külön helyiségben","délkelet","kertre néző","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","van",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","46 m²"," 2 ","28,99 millió Ft","felújított","nincs megadva","nincs megadva","3","10","van","3 m-nél alacsonyabb","házközponti","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között","nincs",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","58 m²"," 2 ","44,8 millió Ft","felújított","nincs megadva","nincs megadva","3","3","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nem tetőtéri","utca, közterület",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","52 m²"," 2 ","41,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","2","nincs","nincs megadva","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","kertre néző","igen","legfelső emelet, nem tetőtéri","önálló garázs - benne van az árban","1981-2000 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","57 m²"," 2 ","49,5 millió Ft","újszerű","nincs megadva","nincs megadva","1","6","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","2018",NA,"20 000 Ft/hó","10 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","46 m²"," 1 + 1 fél ","30 millió Ft","felújított","nincs megadva","nincs megadva","földszint","10","van","nincs megadva","távfűtés egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,"van","35 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","54 m²"," 2 ","32,9 millió Ft","újszerű","összkomfortos","nincs megadva","3","4","nincs","nincs megadva","gáz (konvektor)","igen","egy helyiségben","délkelet","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között","nincs","15 000 Ft/hó","5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","75 m²"," 2 ","34 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","4","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950 előtt",NA,NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","114 m²"," 3 + 2 fél ","79,8 millió Ft","felújított","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön és egyben is","nincs megadva","nincs megadva","nem","tetőtéri","utca, közterület - ingyenes","1981-2000 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","59 m²"," 3 ","40,9 millió Ft","jó állapotú","komfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délnyugat","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","van",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","56 m²"," 2 + 1 fél ","51,9 millió Ft","újszerű","nincs megadva","nincs megadva","1","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","délnyugat","nincs megadva","nincs megadva","nem tetőtéri","udvari beálló - bérelhető","2001-2010 között","nincs",NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","45 m²"," 2 ","31,9 millió Ft","felújított","összkomfortos","nincs megadva","2","9","van","nincs megadva","távfűtés egyedi méréssel","nincs megadva","külön helyiségben","északnyugat","utcai","nem",NA,"utca, közterület - ingyenes","1950-1980 között","van","10 000 Ft/hó","3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","50 m²"," 2 ","57,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","3","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között","van",NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","31 m²"," 1 + 1 fél ","23,6 millió Ft","felújított","összkomfortos","nincs megadva","szuterén","4","nincs","3 m-nél alacsonyabb","elektromos","nem","egy helyiségben","nincs megadva","kertre néző","igen","nem tetőtéri","utca, közterület - ingyenes","1950 előtt","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","47 m²"," 2 ","42 millió Ft","újszerű","összkomfortos","nincs megadva","4","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","egy helyiségben","nyugat","utcai","nem","legfelső emelet, nem tetőtéri","udvari beálló - benne van az árban","2015",NA,"30 000 Ft/hó","6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","82 m²"," 3 ","44,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","4","nincs","3 m vagy magasabb","gáz (cirko)","nem","külön helyiségben","nincs megadva","utcai","nem","nincs megadva","utca, közterület - fizetős övezet","1950-1980 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","46 m²"," 1 + 1 fél ","28,75 millió Ft","jó állapotú","nincs megadva","nincs megadva","8","10","van","3 m-nél alacsonyabb","távfűtés","igen","nincs megadva","nyugat","panorámás","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","van",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","56 m²"," 2 + 1 fél ","42 millió Ft","felújított","nincs megadva","nincs megadva","nincs megadva","4","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","1950-1980 között",NA,"30 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","46 m²"," 1 + 1 fél ","28 millió Ft","újszerű","összkomfortos","CC","3","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","egy helyiségben","nincs megadva","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","van","25 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","46 m²"," 1 + 1 fél ","29,5 millió Ft","felújított","összkomfortos","nincs megadva","1","10","van","3 m-nél alacsonyabb","távfűtés","nincs megadva","egy helyiségben","nincs megadva","kertre néző","nem","nincs megadva","utca, közterület - ingyenes",NA,NA,"30 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","51 m²"," 3 ","33,9 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","földszintes","nincs","nincs megadva","egyéb kazán, elektromos","nem","külön helyiségben","nyugat","utcai","nem","nem tetőtéri","utca, közterület",NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","77 m²"," 3 ","57,9 millió Ft","újszerű","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","délkelet","kertre néző","nem","nincs megadva","udvari beálló - benne van az árban","2001-2010 között","van","13 000 Ft/hó","7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","62 m²"," 3 ","56,9 millió Ft","újszerű","összkomfortos","nincs megadva","5","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön és egyben is","nincs megadva","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"9 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","39 m²"," 1 + 1 fél ","31,9 millió Ft","felújított","nincs megadva","nincs megadva","félemelet","4","nincs","3 m vagy magasabb","gázkazán","nincs megadva","egy helyiségben","nincs megadva","udvari","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","43 m²"," 2 ","31,99 millió Ft","felújított","összkomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","gáz (konvektor)","nincs megadva","egy helyiségben","délkelet","kertre néző","igen","nem tetőtéri","udvari beálló - benne van az árban","1950 előtt","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","79 m²"," 3 ","79 millió Ft","újszerű","duplakomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","igen","külön és egyben is","délnyugat","panorámás","nem","nem tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között","van",NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","52 m²"," 2 ","33,9 millió Ft","felújított","nincs megadva","nincs megadva","2","4","nincs megadva","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nyugat","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,"van",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","42 m²"," 1 + 1 fél ","31,5 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","4","nincs","nincs megadva","gáz (cirko)","nincs megadva","egy helyiségben","északnyugat","kertre néző","nincs megadva","nem tetőtéri","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","46 m²"," 1 + 1 fél ","25,4 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","10","van","nincs megadva","távfűtés","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","utca, közterület","1950-1980 között","van",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","56 m²"," 2 ","46,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","6","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"7 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","36 m²"," 1 ",NA,"jó állapotú","összkomfortos","nincs megadva","1","3","nincs megadva","3 m vagy magasabb","elektromos, falfűtés","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nem tetőtéri","udvari beálló","1981-2000 között",NA,"6 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24,6 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","50 m²"," 1 + 1 fél ","36,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","nincs megadva","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet","1981-2000 között",NA,NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","27 m²"," 1 ","20,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","2","nincs megadva","3 m vagy magasabb","gáz (konvektor)","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület","1950-1980 között",NA,"15 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","44 m²"," 2 ","34,9 millió Ft","felújított","összkomfortos","F","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délnyugat","utcai","igen","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","50 m²"," 2 ","32,5 millió Ft","felújított","nincs megadva","nincs megadva","9","10","van","nincs megadva","távfűtés egyedi méréssel","nincs megadva","külön helyiségben","délkelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"van",NA,"2 m²",NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","46 m²"," 1 + 1 fél ","25,8 millió Ft","felújított","összkomfortos","nincs megadva","7","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","egy helyiségben","kelet","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes",NA,"van","30 000 Ft/hó",NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","52 m²"," 2 + 1 fél ","37,9 millió Ft","felújított","összkomfortos","nincs megadva","1","4","nincs megadva","3 m-nél alacsonyabb","elektromos","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","60 m²"," 1 + 2 fél ","51,5 millió Ft","újszerű","összkomfortos","CC","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko), padlófűtés","nem","egy helyiségben","északnyugat","panorámás","nem","legfelső emelet, nem tetőtéri","udvari beálló - benne van az árban","2001-2010 között","van","12 740 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","41 m²"," 1 + 1 fél ","33,9 millió Ft","felújított","összkomfortos","nincs megadva","2","4","nincs megadva","3 m-nél alacsonyabb","hőszivattyú","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","48 m²"," 2 ","47 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","nincs megadva","panorámás","igen","nem tetőtéri","teremgarázs hely - megvásárolható","1981-2000 között","van",NA,"3 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","51 m²"," 1 + 1 fél ","35,2 millió Ft","újszerű","nincs megadva","nincs megadva","2","2","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","utca, közterület - ingyenes",NA,NA,"13 800 Ft/hó","2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","63 m²"," 3 ","49,9 millió Ft","felújított","összkomfortos","nincs megadva","1","4","nincs megadva","nincs megadva","gáz (cirko)","nem","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","1950 előtt",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
