"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Légkondicionáló","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 220 000 € "," 109 510 € "," 80 880 € "," 97 330 € "," 69 540 € "," 97 150 € "," 76 000 € "," 118 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 144 900 € "," 103 640 € "," 250 000 € "," 208 000 € "," 140 000 € "," 83 050 € "," 74 930 € "," 222 290 € "," 107 700 € "," 72 620 € "," 64 440 € "," 84 430 € "," 85 550 € "," 82 790 € "," 221 850 € "," 73 880 € "," 77 480 € "," 81 330 € "," 80 370 € "," 66 450 € "," 91 860 € "," 86 210 € "," 73 770 € "," 144 330 € "," 95 990 € "," 58 260 € "," 85 870 € "," 138 070 € "," 111 610 € "," 158 310 € "," 24 000 € "," 88 720 € "," 73 940 € "," 173 330 € "," 61 580 € "," 117 790 € "," 108 980 € "," 271 350 € "," 97 450 € "," 111 800 € "," 76 140 € "," 61 070 € "," 74 470 € "," 81 670 € "," 125 570 € "," 109 200 € "
"395","60 m²"," 2 + 1 fél ","44,9 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","2","nincs megadva","nincs megadva","elektromos",NA,"nincs megadva","külön helyiségben","délkelet","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","46 m²"," 2 ","27,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","van","igen","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","40 m²"," 1 ","26,15 millió Ft","felújított","összkomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","elektromos",NA,"nincs megadva","külön helyiségben","délnyugat","udvari","nincs megadva","nincs megadva","nincs megadva","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","49 m²"," 1 + 1 fél ","47,5 millió Ft","felújított","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","nincs megadva","nyugat","utcai","nincs megadva","nincs megadva","nincs megadva",NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","29 m²"," 1 ","17,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","szuterén","2","nincs","3 m-nél alacsonyabb","nincs megadva","nincs","nem","egy helyiségben","dél","kertre néző","nincs megadva","nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","71 m²"," 3 ","48,9 millió Ft","jó állapotú","duplakomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nincs megadva","egy helyiségben","délkelet","panorámás","nincs megadva","nincs megadva","nincs megadva","2001-2010 között",NA,"4.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","46 m²"," 2 ","28,9 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nincs megadva","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","80 m²"," 2 + 1 fél ","64 millió Ft","felújított","nincs megadva","nincs megadva","földszint","nincs megadva","nincs","3 m vagy magasabb","cserépkályha",NA,"nincs megadva","nincs megadva","délnyugat","kertre néző","nincs megadva","nem tetőtéri","nincs megadva","1950 előtt",NA,"11 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","45 m²"," 1 + 1 fél ","29,9 millió Ft","felújított","összkomfortos","nincs megadva","2","4","van","3 m-nél alacsonyabb","gáz (konvektor)","nincs","nem","külön helyiségben","délnyugat","udvari","nincs megadva","nem tetőtéri","utca, közterület","1950-1980 között","25 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","42 m²"," 1 + 1 fél ","29,5 millió Ft","felújított","összkomfortos","nincs megadva","földszint","4","nincs megadva","3 m-nél alacsonyabb","távfűtés",NA,"igen","egy helyiségben","nincs megadva","kertre néző","nem","nincs megadva","utca, közterület - ingyenes","1950-1980 között","8 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","64 m²"," 3 + 1 fél ","48,9 millió Ft","újszerű","nincs megadva","nincs megadva","földszint","3","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva","külön helyiségben","északkelet","kertre néző","nincs megadva","nincs megadva","nincs megadva","2001-2010 között",NA,"7.2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","49 m²"," 2 ","34,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","legfelső emelet, nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között","25 000 Ft/hó","2.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","47 m²"," 2 ",NA,"jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (konvektor)",NA,"nem","egy helyiségben","kelet","utcai","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","43 m²"," 1 + 1 fél ","30,9 millió Ft","felújított","nincs megadva","nincs megadva","földszint","4","nincs","3 m-nél alacsonyabb","házközponti","van","nem","külön helyiségben","kelet","utcai","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950-1980 között","30 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","60 m²"," 2 ","36 millió Ft","felújított","nincs megadva","nincs megadva","félemelet","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)",NA,"nincs megadva","nincs megadva","északkelet","utcai","nincs megadva","nincs megadva","nincs megadva",NA,"14 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","57 m²"," 3 ","36,9 millió Ft","felújított","összkomfortos","nincs megadva","4","nincs megadva","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","van","nincs megadva","egy helyiségben","nyugat","panorámás","nincs megadva",NA,"nincs megadva","1981-2000 között","11 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","75 m²"," 3 ",NA,"újszerű","összkomfortos","AA","4","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel",NA,"nem","nincs megadva","nyugat","panorámás","nem","tetőtéri","önálló garázs - megvásárolható","2001-2010 között",NA,"40 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78,99 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","44 m²"," 2 ","21 millió Ft","felújított","összkomfortos","nincs megadva","földszint","nincs megadva","nincs","nincs megadva","gáz (cirko)",NA,"nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","57 m²"," 1 + 2 fél ","42,9 millió Ft","felújított","összkomfortos","nincs megadva","3","3","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","tetőtéri","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","68 m²"," 3 ",NA,"felújított","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nem","nincs megadva","délkelet","utcai","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,"3 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","64 m²"," 3 ","36,9 millió Ft","felújított","nincs megadva","nincs megadva","1","2","nincs","nincs megadva","gáz (cirko)",NA,"nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari beálló - benne van az árban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","47 m²"," 1 ","31,9 millió Ft","felújított","komfortos","nincs megadva","1","3","nincs","3 m vagy magasabb","gáz (konvektor)","nincs","nem","külön helyiségben","délkelet","utcai","nem","nem tetőtéri","udvari beálló - benne van az árban","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","53 m²"," 2 ","40,96 millió Ft","újszerű","összkomfortos","nincs megadva","3","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel",NA,"nincs megadva","külön helyiségben","délkelet","utcai","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2020",NA,NA,"4.9 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","65 m²"," 3 ","46,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","nincs megadva","van","nincs megadva","házközponti egyedi méréssel",NA,"nincs megadva","nincs megadva","kelet","kertre néző","nincs megadva","nem tetőtéri","nincs megadva","2001-2010 között",NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","25 m²"," 1 ","24,99 millió Ft","jó állapotú","duplakomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","egyéb","van","nincs megadva","egy helyiségben","dél","udvari","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","46 m²"," 1 + 1 fél ","27,2 millió Ft","jó állapotú","nincs megadva","nincs megadva","4","nincs megadva","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nincs megadva","nincs megadva","nyugat","udvari","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","57 m²"," 3 ","36,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","külön helyiségben","délnyugat","panorámás","nincs megadva",NA,"utca, közterület - ingyenes","1981-2000 között","40 000 Ft/hó","7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","80 m²"," 3 ","63,9 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva","nincs megadva","dél","udvari","nincs megadva","nem tetőtéri","önálló garázs",NA,NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","56 m²"," 2 + 1 fél ","39,9 millió Ft","felújított","nincs megadva","nincs megadva","1","nincs megadva","nincs","nincs megadva","távfűtés",NA,"nincs megadva","nincs megadva","északnyugat","kertre néző","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","46 m²"," 1 + 1 fél ","25,5 millió Ft","jó állapotú","komfortos","nincs megadva","földszint","nincs megadva","van","3 m-nél alacsonyabb","távfűtés",NA,"nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","49 m²"," 2 ","35,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nem","egy helyiségben","dél","utcai","nem",NA,"utca, közterület - ingyenes","1950-1980 között","22 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","46 m²"," 1 + 1 fél ","25,5 millió Ft","jó állapotú","komfortos","nincs megadva","földszint","nincs megadva","van","nincs megadva","távfűtés",NA,"nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","66 m²"," 3 ","42,9 millió Ft","felújított","összkomfortos","nincs megadva","3","4","nincs","3 m vagy magasabb","gáz (cirko)",NA,"nem","külön helyiségben","délnyugat","utcai","nem","nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","26 m²"," 1 ","20,5 millió Ft","jó állapotú","félkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","elektromos","nincs","nem","külön helyiségben","délkelet","udvari","nem","nem tetőtéri","utca, közterület","1950-1980 között","7 000 Ft/hó","1.3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","46 m²"," 1 + 1 fél ","24,5 millió Ft","felújított","összkomfortos","nincs megadva","7","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nincs megadva","egy helyiségben","nincs megadva","panorámás","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","46 m²"," 2 ",NA,"felújított","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel",NA,"nem","nincs megadva","kelet","panorámás","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","51 m²"," 2 ","33,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","10","van","3 m-nél alacsonyabb","távfűtés",NA,"nincs megadva","nincs megadva","nincs megadva","kertre néző","nincs megadva","nincs megadva","utca, közterület",NA,"25 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","56 m²"," 1 + 2 fél ","35,9 millió Ft","felújított","összkomfortos","nincs megadva","4","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","van","nincs megadva","külön helyiségben","nincs megadva","utcai","nem","nincs megadva","utca, közterület","1950-1980 között",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","53 m²"," 2 ","35,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","nincs","nincs megadva","gáz (cirko)","van","nincs megadva","külön helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","nincs megadva",NA,"25 000 Ft/hó","6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","52 m²"," 2 ","41,58 millió Ft","felújított","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","házközponti",NA,"nincs megadva","egy helyiségben","kelet","utcai","nincs megadva",NA,"utca, közterület - ingyenes","1981-2000 között",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
